Nb de candidats ayant fait au moins un vœu confirmé PP;Nb d'individus;Etablissement;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non)
1;36;CFA Bélliard ALIMENTATION-HOTELLERIE;Professionnelle;Non concerné
5;6;EREA CROCE SPINELLI;Professionnelle;Non
2;4;EREA CROCE SPINELLI;Professionnelle;Non concerné
8;8;EREA CROCE SPINELLI;Professionnelle;Oui
1;1;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Professionnelle;Non concerné
0;1;Lycée Colbert;Professionnelle;Non concerné
32;38;Lycée D'Alembert-Cuir;Professionnelle;Non
12;25;Lycée D'Alembert-Cuir;Professionnelle;Non concerné
33;34;Lycée D'Alembert-Cuir;Professionnelle;Oui
4;8;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non
1;18;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Non concerné
14;16;Lycée des Métiers de l'Hôtellerie Guillaume TIREL;Professionnelle;Oui
2;2;Lycée des Métiers Dorian;Professionnelle;Non
4;23;Lycée des Métiers Dorian;Professionnelle;Non concerné
8;8;Lycée des Métiers Dorian;Professionnelle;Oui
7;8;Lycée Des métiers Jean DROUANT;Professionnelle;Non
5;22;Lycée Des métiers Jean DROUANT;Professionnelle;Non concerné
11;11;Lycée Des métiers Jean DROUANT;Professionnelle;Oui
22;23;Lycée Diderot;Professionnelle;Non
2;7;Lycée Diderot;Professionnelle;Non concerné
3;3;Lycée Diderot;Professionnelle;Oui
27;27;Lycée Edgar Quinet;Professionnelle;Non
3;29;Lycée Edgar Quinet;Professionnelle;Non concerné
27;28;Lycée Edgar Quinet;Professionnelle;Oui
29;30;Lycée Elisa Lemonnier;Professionnelle;Non
8;36;Lycée Elisa Lemonnier;Professionnelle;Non concerné
32;34;Lycée Elisa Lemonnier;Professionnelle;Oui
4;5;Lycée Fresnel;Professionnelle;Non
0;1;Lycée Fresnel;Professionnelle;Non concerné
6;6;Lycée Fresnel;Professionnelle;Oui
31;35;Lycée Jacques Monod;Professionnelle;Non
18;32;Lycée Jacques Monod;Professionnelle;Non concerné
44;44;Lycée Jacques Monod;Professionnelle;Oui
11;12;Lycée Jean Lurcat;Professionnelle;Non
1;10;Lycée Jean Lurcat;Professionnelle;Non concerné
36;36;Lycée Jean Lurcat;Professionnelle;Oui
6;8;Lycée Léonard de Vinci;Professionnelle;Non
0;8;Lycée Léonard de Vinci;Professionnelle;Non concerné
16;20;Lycée Léonard de Vinci;Professionnelle;Oui
18;22;Lycée Louis Armand;Professionnelle;Non
6;22;Lycée Louis Armand;Professionnelle;Non concerné
43;43;Lycée Louis Armand;Professionnelle;Oui
1;1;Lycée Lucas De Nehou;Professionnelle;Non
0;6;Lycée Lucas De Nehou;Professionnelle;Non concerné
1;1;Lycée Lucas De Nehou;Professionnelle;Oui
41;41;Lycée Martin-Nadaud;Professionnelle;Non
2;16;Lycée Martin-Nadaud;Professionnelle;Non concerné
19;19;Lycée Martin-Nadaud;Professionnelle;Oui
11;11;Lycée Maximilien Vox;Professionnelle;Non
3;11;Lycée Maximilien Vox;Professionnelle;Non concerné
20;20;Lycée Maximilien Vox;Professionnelle;Oui
2;9;Lycée Paul Poiret;Professionnelle;Non concerné
11;11;Lycée Paul Poiret;Professionnelle;Oui
7;10;Lycée professionnel Armand Carrel;Professionnelle;Non
2;15;Lycée professionnel Armand Carrel;Professionnelle;Non concerné
26;29;Lycée professionnel Armand Carrel;Professionnelle;Oui
28;32;Lycée professionnel Beaugrenelle;Professionnelle;Non
2;21;Lycée professionnel Beaugrenelle;Professionnelle;Non concerné
37;39;Lycée professionnel Beaugrenelle;Professionnelle;Oui
8;9;Lycée professionnel BRASSAI;Professionnelle;Non
9;21;Lycée professionnel BRASSAI;Professionnelle;Non concerné
8;10;Lycée professionnel BRASSAI;Professionnelle;Oui
12;20;Lycée professionnel Camille Jenatzy;Professionnelle;Non
0;32;Lycée professionnel Camille Jenatzy;Professionnelle;Non concerné
14;15;Lycée professionnel Camille Jenatzy;Professionnelle;Oui
25;28;Lycée professionnel Charles De Gaulle;Professionnelle;Non
0;22;Lycée professionnel Charles De Gaulle;Professionnelle;Non concerné
23;23;Lycée professionnel Charles De Gaulle;Professionnelle;Oui
14;17;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non
11;53;Lycée professionnel Chenneviere Malezieux;Professionnelle;Non concerné
22;22;Lycée professionnel Chenneviere Malezieux;Professionnelle;Oui
