Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Profil synthétique candidat;Niveau d'études
5149;4318;Etudiants (réorientation, mise à niveau);1ère année d'études supérieures
766;647;Etudiants (réorientation, mise à niveau);2nd année d'études supérieures
462;410;Etudiants (réorientation, mise à niveau);3ème année d'études supérieures
274;324;Etudiants (réorientation, mise à niveau);4ème année d'études supérieures ou plus
1009;815;Etudiants (réorientation, mise à niveau);Année préparatoire aux études supérieures
261;238;Non scolarisés;1ère année d'études supérieures
23;19;Non scolarisés;2nd année d'études supérieures
8;7;Non scolarisés;3ème année d'études supérieures
6;7;Non scolarisés;4ème année d'études supérieures ou plus
20;15;Non scolarisés;Année préparatoire aux études supérieures
