Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
2;1;CFA Bélliard ALIMENTATION-HOTELLERIE;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
5;2;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
6;6;EREA CROCE SPINELLI;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
32;29;ESAA Boulle;Terminale;Terminale;Autres Diplômes et brevets de niveau 4;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
28;26;ESAA Boulle;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
3;;Etablissement régional d'enseignement adapté Alexandre Dumas;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
0;;Etablissement régional d'enseignement adapté Alexandre Dumas;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;GRETA INDUSTRIEL TECHOLOGIES AVANCEES;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;GRETA METEHOR;Terminale;Terminale;Autres Diplômes et brevets de niveau 4;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
8;6;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;;HOPITAL DE JOUR CLINIQUE UNIV GEORGES HEUYER;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;;IFSI Campus Picpus (AP-HP);Terminale;Terminale;Autres Diplômes et brevets de niveau 4;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;IFSI Tenon (AP-HP);Terminale;Terminale;Autres Diplômes et brevets de niveau 4;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
