Nb de candidats ayant fait au moins un vœu confirmé PP 2025;Nb de candidats ayant fait au moins un vœu confirmé PP 2024;Nb de candidats ayant fait au moins un vœu confirmé PP 2023;Nb de cddt ayant au moins une proposition Parcoursup 2025;Nb de cddt ayant au moins une proposition Parcoursup 2024;Nb de cddt ayant au moins une proposition Parcoursup 2023;Etablissement;Type de formation de la scolarité;Niveau d'études
7;5;6;3;3;4;AEPO CFA de l'optique;BTS - BTSA - BTSM;1ère année d'études supérieures
3;5;0;1;3;;AEPO CFA de l'optique;BTS - BTSA - BTSM;2nd année d'études supérieures
;;0;;;;AEPO CFA de l'optique;BTS - BTSA - BTSM;3ème année d'études supérieures
;;0;;;;AEPO CFA de l'optique;Licence professionnelle;1ère année d'études supérieures
1;0;1;;;;AEPO CFA de l'optique;Licence professionnelle;3ème année d'études supérieures
;;1;;;1;AEPO CFA de l'optique;Prépa formation paramédicale (prépa orthophoniste, ...);Année préparatoire aux études supérieures
8;2;0;17;14;14;AEPO CFA de l'optique;Terminale;Terminale
1;4;;1;4;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;1ère année d'études supérieures
0;1;;;1;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;3ème année d'études supérieures
0;;;;;;AFTRAL CFA ISTELI;Autre formation du supérieur;1ère année d'études supérieures
1;;;;;;AFTRAL CFA ISTELI;Autre formation du supérieur;4ème année d'études supérieures ou plus
1;;;1;;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;;1;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;AFTRAL CFA ISTELI;Formations professionnelles;2nd année d'études supérieures
0;;;;;;Antenne de Centre de Formation d'apprentis - CEFLU;BTS - BTSA - BTSM;1ère année d'études supérieures
1;;;1;;;Antenne de Centre de Formation d'apprentis - CEFLU;Terminale;Terminale
;;0;;;;ANTENNE DU CFA IGS;Autre formation du supérieur;1ère année d'études supérieures
0;;;;;;ANTENNE DU CFA IGS;Autre formation du supérieur;3ème année d'études supérieures
1;0;1;;1;1;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;1ère année d'études supérieures
;;0;;;;ANTENNE DU CFA IGS;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;ANTENNE DU CFA IGS;DCG;3ème année d'études supérieures
;;1;;;;ANTENNE DU CFA IGS;Formations professionnelles;1ère année d'études supérieures
;;0;;;;ANTENNE DU CFA IGS;Formations professionnelles;2nd année d'études supérieures
1;;0;1;;;ANTENNE DU CFA IGS;Formations professionnelles;3ème année d'études supérieures
;0;;;;;ANTENNE DU CFA IGS;Licence professionnelle;3ème année d'études supérieures
0;;0;;;1;ANTENNE DU CFA IGS;Terminale;Terminale
1;;;;;;Artémisia Formation;Formations professionnelles;1ère année d'études supérieures
3;;;1;;;ASFORED-EDINOVO;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;ASFORED-EDINOVO;BTS - BTSA - BTSM;3ème année d'études supérieures
;;1;;;1;ASSO FORMAT BIOCHIM BIOL ECOLE;Autre formation du supérieur;1ère année d'études supérieures
0;1;;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;1ère année d'études supérieures
0;0;0;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;2nd année d'études supérieures
0;;;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;BTS - BTSA - BTSM;3ème année d'études supérieures
2;;;1;;;ASSO FORMAT BIOCHIM BIOL ECOLE;Classe de remise à niveau (Scientifique, pour entrer en BTS, ...);Année préparatoire aux études supérieures
;;0;;;;ASSO FORMAT BIOCHIM BIOL ECOLE;Prépa PASS (Médecine, Pharmacie, Sage femme, Dentiste, Kiné);Année préparatoire aux études supérieures
1;1;;;1;;Aureïs formation;Autre formation du supérieur;1ère année d'études supérieures
0;;0;;;;Aureïs formation;Autre formation du supérieur;3ème année d'études supérieures
2;0;0;1;;;Aureïs formation;BTS - BTSA - BTSM;1ère année d'études supérieures
1;0;0;;;1;Aureïs formation;BTS - BTSA - BTSM;2nd année d'études supérieures
6;;;6;;;AURLOM BTS+;Autre formation du supérieur;1ère année d'études supérieures
0;;;1;;;AURLOM BTS+;Autre formation du supérieur;2nd année d'études supérieures
133;;;70;;;AURLOM BTS+;BTS - BTSA - BTSM;1ère année d'études supérieures
22;;;12;;;AURLOM BTS+;BTS - BTSA - BTSM;2nd année d'études supérieures
1;;;1;;;AURLOM BTS+;BTS - BTSA - BTSM;3ème année d'études supérieures
