Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
6;5;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Etudiants (réorientation, mise à niveau);M;Versailles
2;2;3IS Institut International de l'Image et du Son;Formations d'art, de design et du spectacle vivant;Non scolarisés;F;Versailles
8;7;ABCDaire du Savoir;Terminale;Lycéens de Terminale;F;Créteil
5;5;ABCDaire du Savoir;Terminale;Lycéens de Terminale;M;Créteil
0;;ABCDaire du Savoir;Terminale;Non scolarisés;F;Créteil
1;1;Académie d'Art Dentaire;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ACMP-IGEFI;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;;ACMP-IGEFI;DCG;Etudiants (réorientation, mise à niveau);M;Versailles
3;2;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
5;2;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
4;4;ADEFSA CFA Descartes;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;ADEFSA CFA Descartes;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;ADEFSA CFA Descartes;Licence professionnelle;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;ADEFSA CFA Descartes;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
7;3;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
2;1;AEPO CFA de l'optique;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AEPO CFA de l'optique;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;;AEPO CFA de l'optique;BTS - BTSA - BTSM;Non scolarisés;M;Paris
1;;AEPO CFA de l'optique;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Paris
6;14;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;F;Paris
2;3;AEPO CFA de l'optique;Terminale;Lycéens de Terminale;M;Paris
1;1;AFORP FORMATION - GENNEVILLIERS;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
0;;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
3;1;AFORP Mantes-La-Ville;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
0;;AFORP Mantes-La-Ville;Terminale;Lycéens de Terminale;F;Versailles
3;4;AFORP Mantes-La-Ville;Terminale;Lycéens de Terminale;M;Versailles
0;;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
1;1;AFREP - Institut de formation en pédicurie-podologie;Etudes de santé;Etudiants (réorientation, mise à niveau);M;Paris
1;;AFTRAL CFA ISTELI;Autre formation du supérieur;Non scolarisés;F;Paris
0;;AFTRAL CFA ISTELI;Autre formation du supérieur;Non scolarisés;M;Paris
1;1;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
0;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;AFTRAL CFA ISTELI;BTS - BTSA - BTSM;Non scolarisés;M;Paris
0;;AFTRAL CFA ISTELI;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;AFTRAL CFA TL Aulnay-Sous-Bois;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;AFTRAL CFA TL Aulnay-Sous-Bois;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;AFTRAL CFA TL Aulnay-Sous-Bois;Formations professionnelles;Non scolarisés;M;Créteil
0;;AFTRAL CFA TL Noisiel ;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Noisiel ;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
0;;AFTRAL CFA TL Noisiel ;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Noisiel ;Terminale;Lycéens de Terminale;F;Créteil
0;;AFTRAL CFA TL Noisiel ;Terminale;Lycéens de Terminale;M;Créteil
0;;AFTRAL CFA TL RUNGIS;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Première;Autres;M;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Terminale;Lycéens de Terminale;F;Créteil
0;;AFTRAL CFA TL Savigny-Le-Temple;Terminale;Lycéens de Terminale;M;Créteil
1;1;aivancity School of AI & Data for Business & Society;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;aivancity School of AI & Data for Business & Society;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Créteil
2;1;aivancity School of AI & Data for Business & Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;aivancity School of AI & Data for Business & Society;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;aivancity School of AI & Data for Business & Society;BTS - BTSA - BTSM;Non scolarisés;F;Créteil
1;;aivancity School of AI & Data for Business & Society;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Créteil
0;;aivancity School of AI & Data for Business & Society;Formations préparatoires à l'enseignement supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
1;1;aivancity School of AI & Data for Business & Society;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
1;;aivancity School of AI & Data for Business & Society;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;annexe CFA Scholia Thiais;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
7;6;annexe CFA Scholia Thiais;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
8;6;annexe CFA Scholia Thiais;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
0;;annexe CFA Scholia Thiais;Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Créteil
2;2;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;F;Créteil
2;2;Annexe du lycée Jacques Amyot (Melun);Terminale;Lycéens de Terminale;M;Créteil
38;37;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;F;Versailles
14;13;Annexe du Lycée Lakanal;Terminale;Lycéens de Terminale;M;Versailles
