date,country,country_alpha2,city,lat,lon,temp_min_c,temp_max_c,temp_mean_c_approx,app_temp_min_c,app_temp_max_c,precip_mm,rain_mm,snow_mm,windspeed_10m_max_kmh,windgusts_10m_max_kmh,wind_dir_dom_deg,sunshine_duration_s,daylight_duration_s,shortwave_radiation_MJ_m2
2025-01-31,Afghanistan,AF,Herat,34.341944,62.203056,-3.4,7.7,2.1500000000000004,-6.5,4.5,0.0,0.0,0.0,12.7,26.6,218,32864.61,37840.86,12.62
2025-01-31,Afghanistan,AF,Jalalabad,34.430277777,70.452777777,3.9,18.6,11.25,-0.2,13.8,0.0,0.0,0.0,12.3,28.1,283,32558.26,37825.62,13.5
2025-01-31,Afghanistan,AF,Kabul,34.532777777,69.165833333,-4.5,4.8,0.1499999999999999,-9.4,1.7,0.0,0.0,0.0,8.8,18.7,176,33688.67,37795.06,14.97
2025-01-31,Afghanistan,AF,Kandahar,31.62068,65.71588,-2.7,10.1,3.6999999999999997,-6.2,7.0,0.0,0.0,0.0,9.6,19.8,198,35120.69,38415.75,15.69
2025-01-31,Afghanistan,AF,Khost,33.333333333,69.916666666,0.0,13.9,6.95,-4.4,10.5,0.0,0.0,0.0,12.7,21.6,253,33160.43,38051.5,13.67
2025-01-31,Afghanistan,AF,Kunduz,36.728888888,68.856944444,-2.4,7.1,2.3499999999999996,-5.2,4.1,0.0,0.0,0.0,5.9,16.9,18,19071.5,37307.06,7.62
2025-01-31,Afghanistan,AF,Lashkar Gah,31.593819444,64.371611111,-1.3,11.2,4.949999999999999,-4.7,7.2,0.0,0.0,0.0,10.7,23.4,220,35375.6,38415.75,15.55
2025-01-31,Afghanistan,AF,Mazar-i-Sharif,36.7,67.116666666,-0.9,6.1,2.5999999999999996,-3.4,3.1,0.0,0.0,0.0,8.1,23.8,121,21853.38,37307.06,8.91
2025-01-31,Afghanistan,AF,Sheberghan,36.665,65.752,-0.5,6.0,2.75,-3.2,2.5,0.1,0.1,0.0,9.2,20.5,53,14433.23,37323.24,6.82
2025-01-31,Afghanistan,AF,Taloqan,36.735833333,69.534722222,-2.6,4.6,0.9999999999999998,-5.5,1.3,0.0,0.0,0.0,4.8,17.6,359,27999.22,37307.06,9.14
2025-01-31,Albania,AL,Berat,40.704939,19.949673,8.4,15.6,12.0,7.2,14.4,2.0,2.0,0.0,9.9,22.3,201,28739.95,36328.57,8.29
2025-01-31,Albania,AL,Durrës,41.313333333,19.445833333,8.0,14.8,11.4,6.8,14.0,0.4,0.4,0.0,8.9,22.7,204,30193.17,36181.44,9.5
2025-01-31,Albania,AL,Elbasan,41.113059,20.08178,6.1,15.5,10.8,4.0,14.1,0.4,0.4,0.0,7.0,20.2,59,31555.88,36236.93,9.06
2025-01-31,Albania,AL,Fier,40.716666666,19.55,6.1,15.8,10.95,4.6,14.7,3.4,3.4,0.0,9.0,22.3,193,30290.35,36328.57,9.66
2025-01-31,Albania,AL,Kamëz,41.383333333,19.766666666,4.4,15.5,9.95,2.4,14.5,0.3,0.3,0.0,7.7,19.1,136,30895.04,36162.86,9.46
2025-01-31,Albania,AL,Korçë,40.616666666,20.766666666,-0.2,12.6,6.2,-2.7,10.1,0.0,0.0,0.0,6.4,20.2,239,27313.52,36364.95,8.69
2025-01-31,Albania,AL,Lushnjë,40.933333333,19.7,7.2,16.1,11.65,5.4,15.0,0.3,0.3,0.0,8.8,19.8,63,30747.84,36273.71,9.15
2025-01-31,Albania,AL,Shkodër,42.068132,19.512138,6.7,15.5,11.1,4.6,14.6,0.0,0.0,0.0,7.6,16.2,95,31072.23,35974.68,8.86
2025-01-31,Albania,AL,Tirana,41.328888888,19.817777777,6.5,15.5,11.0,4.6,14.3,0.8,0.8,0.0,7.2,18.7,185,31068.66,36181.44,9.49
2025-01-31,Albania,AL,Vlorë,40.45,19.483333333,5.2,15.7,10.45,3.1,14.8,0.8,0.8,0.0,9.6,24.5,179,32451.37,36401.16,9.72
2025-01-31,Andorra,AD,Andorra la Vella,42.507222222,1.522222222,-1.1,5.4,2.1500000000000004,-5.9,2.2,0.6,0.0,0.42,12.0,70.9,6,23799.67,35859.62,8.28
2025-01-31,Andorra,AD,El Pas de la Casa,42.543736111,1.733736111,-12.2,-3.9,-8.049999999999999,-17.1,-8.5,2.9,0.4,1.75,18.5,61.6,332,23063.64,35840.29,9.85
2025-01-31,Andorra,AD,Juberri,42.438888888,1.491944444,-3.3,5.9,1.3000000000000003,-7.6,1.8,0.1,0.0,0.07,7.3,24.5,319,23812.3,35878.91,8.89
2025-01-31,Angola,AO,Belas,-9.058333333,13.153888888,24.5,31.7,28.1,29.0,37.7,2.6,2.6,0.0,15.1,31.0,194,38819.96,44982.55,21.21
2025-01-31,Angola,AO,Benguela,-12.55,13.416666666,24.6,26.3,25.450000000000003,28.1,30.5,17.3,17.3,0.0,15.5,20.9,336,13598.56,45532.03,12.72
2025-01-31,Angola,AO,Cabinda,-5.566667,12.2,25.0,29.7,27.35,30.2,35.9,0.1,0.1,0.0,14.2,31.3,205,39957.16,44456.62,23.26
2025-01-31,Angola,AO,Huambo,-12.766666666,15.733333333,15.6,19.7,17.65,16.4,21.2,20.0,20.0,0.0,8.5,19.8,298,1617.39,45565.52,8.07
2025-01-31,Angola,AO,Lobito,-12.35,13.546388888,23.6,26.9,25.25,27.2,30.9,20.2,20.2,0.0,9.7,23.4,343,7865.11,45498.61,11.19
2025-01-31,Angola,AO,Luanda,-8.838333333,13.234444444,25.0,30.3,27.65,29.1,36.0,0.4,0.4,0.0,13.7,37.1,225,36065.77,44950.05,22.6
